HS_CODE_6,한국품목명_2012,한국수출금액_2012,한국수출금액_2013,한국수출금액_2014,한국수출금액_2015,한국수출금액_2016,한국수출증감률_2012,한국수출증감률_2013,한국수출증감률_2014,한국수출증감률_2015,한국수출증감률_2016,한국수입금액_2012,한국수입금액_2013,한국수입금액_2014,한국수입금액_2015,한국수입금액_2016,한국수입증감률_2012,한국수입증감률_2013,한국수입증감률_2014,한국수입증감률_2015,한국수입증감률_2016,한국수지_2012,한국수지_2013,한국수지_2014,한국수지_2015,한국수지_2016,중국품목명_2012,중국수출금액_2012,중국수출금액_2013,중국수출금액_2014,중국수출금액_2015,중국수출금액_2016,중국수출증감률_2012,중국수출증감률_2013,중국수출증감률_2014,중국수출증감률_2015,중국수출증감률_2016,중국수입금액_2012,중국수입금액_2013,중국수입금액_2014,중국수입금액_2015,중국수입금액_2016,중국수입증감률_2012,중국수입증감률_2013,중국수입증감률_2014,중국수입증감률_2015,중국수입증감률_2016,중국수지_2012,중국수지_2013,중국수지_2014,중국수지_2015,중국수지_2016,일본품목명_2012,일본수출금액_2012,일본수출금액_2013,일본수출금액_2014,일본수출금액_2015,일본수출금액_2016,일본수출증감률_2012,일본수출증감률_2013,일본수출증감률_2014,일본수출증감률_2015,일본수출증감률_2016,일본수입금액_2012,일본수입금액_2013,일본수입금액_2014,일본수입금액_2015,일본수입금액_2016,일본수입증감률_2012,일본수입증감률_2013,일본수입증감률_2014,일본수입증감률_2015,일본수입증감률_2016,일본수지_2012,일본수지_2013,일본수지_2014,일본수지_2015,일본수지_2016
847590,부분품,22050,14936,7069,20714,18045,-49.3,-32.3,-52.7,193,-12.9,87301,81111,136311,131231,138185,10.6,-7.1,68.1,-3.7,5.3,-65251,-66176,-129242,-110517,-120140,Parts,21107,49664,93902,46884,80924,-14,135.3,89.1,-50.1,72.6,133377,105030,90932,48706,57212,7.4,-21.3,-13.4,-46.4,17.5,-112270,-55366,2970,-1822,23712,"Parts of machines for assembling electric or electronic lamps, tubes etc. in glass envelopes and for manufacturing or hot working glass or glassware",37205880,41759355,93902,46884,58485318,-13.8,12.2,89.1,-50.1,38.2,17164782,14657969,90932,48706,1810426,142.9,-14.6,-13.4,-46.4,-65.8,20041098,27101386,2970,-1822,56674892
620453,"합성섬유제의  여자용  스커트 ,치마바지 (직물제 )",21340,15079,17584,13450,11197,46.5,-29.3,16.6,-23.5,-16.8,22419,24788,29730,31353,41618,15.4,10.6,19.9,5.5,32.7,-1079,-9710,-12146,-17903,-30421,"Womens or girls skirts, divided skirts, of synthetic fibres",503289,525407,919999,904613,850625,12.4,4.4,75.1,-1.7,-6,15348,17981,25270,25705,31078,49.5,17.2,40.5,1.7,20.9,487941,507426,894729,878908,819547,"Womens or girls skirts and divided skirts of synthetic fibers, not knitted or crocheted",180080,169093,919999,904613,498821,20.4,-6.1,75.1,-1.7,20.1,21615134,23220690,25270,25705,28932733,18.7,7.4,40.5,1.7,3.2,-21435054,-23051597,894729,878908,-28433912
890120,탱커,11746548,9817043,11922246,12743911,16311300,-33.1,-16.4,21.4,6.9,28,358864,322811,227840,402082,469844,6.8,-10,-29.4,76.5,16.9,11387684,9494231,11694406,12341829,15841456,Tankers,3918793,3125896,2695615,4007660,4979865,-42.2,-20.2,-13.8,48.7,24.3,1969,908,486,561,2532,-96.5,-53.9,-46.4,15.4,351.2,3916824,3124988,2695129,4007099,4977333,Tankers for the transport of goods,244011069,171709170,2695615,4007660,369261727,-55.1,-29.6,-13.8,48.7,77,8484009,0,486,561,29947952,0,-100,-46.4,15.4,149,235527060,171709170,2695129,4007099,339313775
870322,"실린더용량이 1,000시시를 초과하고 1,500시시 이하인 것",4315463,5974296,6273925,6256593,5993255,-0.7,38.4,5,-0.3,-4.2,21358,8935,58358,93821,89271,20.7,-58.2,553.1,60.8,-4.9,4294105,5965361,6215567,6162771,5903984,"Other vehicles, spark-ignition engine, cylinder capacity 1000-1500cc",2210869,2084030,1547642,1180573,1251016,23.3,-5.7,-25.7,-23.7,6,1009507,854512,924477,1277694,1090267,71,-15.4,8.2,38.2,-14.7,1201362,1229518,623165,-97121,160749,"Passenger motor vehicles with spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1,000 cc but not over 1,500 cc",640266811,663032537,1547642,1180573,660739600,5.1,3.6,-25.7,-23.7,10.7,158701893,165839602,924477,1277694,225363817,3.5,4.5,8.2,38.2,0.3,481564918,497192935,623165,-97121,435375783
290243,파라 -크실렌,3229066,4515958,4776720,4785047,4899232,16.1,39.9,5.8,0.2,2.4,1105152,921026,155684,69265,33777,-24.4,-16.7,-83.1,-55.5,-51.2,2123914,3594931,4621036,4715781,4865455,P-xylene,283940,275183,128068,100758,41244,-46.3,-3.1,-53.5,-21.3,-59.1,9519747,13764111,12555459,9793850,9668037,22.9,44.6,-8.8,-22,-1.3,-9235807,-13488928,-12427391,-9693092,-9626793,"Para-xylene (1,4-dimethylbenzene)",352155292,467711882,128068,100758,245010424,14.2,32.8,-53.5,-21.3,-11.3,0,0,12555459,9793850,4624075,-100,0,-8.8,-22,-31.3,352155292,467711882,-12427391,-9693092,240386349
848180,그밖의기기,1456148,1299209,1159609,1331473,1192836,44.4,-10.8,-10.7,14.8,-10.4,1507805,1906338,2119345,1758316,1499907,15.5,26.4,11.2,-17,-14.7,-51657,-607130,-959736,-426844,-307071,Other appliances,8901488,9595825,10522963,10057542,9372373,11.8,7.8,9.7,-4.4,-6.8,3714907,4262954,4102437,3816903,3526880,7.5,14.8,-3.8,-7,-7.6,5186581,5332871,6420526,6240639,5845493,"Taps, cocks, valves and similar appliances for pipes, vats or the like, including thermostatically controlled valves, nesoi",175681844,196248656,10522963,10057542,202512003,-1.8,11.7,9.7,-4.4,-1.7,104646293,116254067,4102437,3816903,134002317,3.2,11.1,-3.8,-7,-5,71035551,79994589,6420526,6240639,68509686
845020,세탁기 (1회  세탁능력이  건조한  섬유제품중량으로 1 0KG초과 ),1139585,795802,624720,444074,432901,5.6,-30.2,-21.5,-28.9,-2.5,6969,32281,36282,57854,102584,88.6,363.2,12.4,59.5,77.3,1132616,763520,588438,386219,330317,"Washing machines, each of a dry linen capacity exceeding 10kg",258438,681353,901538,1072548,908485,108,163.6,32.3,19,-15.3,21708,35648,49179,47389,37088,29.9,64.2,38,-3.6,-21.7,236730,645705,852359,1025159,871397,"Household- or laundry-type washing machines, with a dry linen capacity exceeding 10 kg",1084697,1654838,901538,1072548,1770383,152.2,52.6,32.3,19,13.2,847183,1869914,49179,47389,3466766,-1.7,120.7,38,-3.6,11.6,237514,-215076,852359,1025159,-1696383
520833,"면의  능직물 (면함량 85%이상 ,염색한것 , 1M2당중량 200G이하 )",20621,14518,18911,10617,10184,31.4,-29.6,30.3,-43.9,-4.1,1068,1443,1180,513,593,-2.9,35.2,-18.3,-56.5,15.5,19553,13074,17731,10103,9591,"Twill woven fabrics of cotton cotton 85% or more, dyed, notmore than 200g/m2",70482,67952,76093,61947,61930,-11,-3.6,12,-18.6,0,5729,6030,7067,6472,3657,-24.3,5.3,17.2,-8.4,-43.5,64753,61922,69026,55475,58273,"Woven fabrics of cotton, 85% or more cotton by weight, dyed, 3-thread or 4-thread twill, including cross twill, weighing not over 200 g/m2",1185909,949175,76093,61947,939323,-10.1,-20,12,-18.6,-11.9,159927,141483,7067,6472,150987,-9.2,-11.5,17.2,-8.4,23.9,1025982,807692,69026,55475,788336
370298,폭이35밀리미터를초과하는것,20362,20523,18949,14580,14897,0,0.8,-7.7,-23.1,2.2,642,1053,802,47,78,0,64.1,-23.8,-94.1,66.1,19720,19469,18147,14532,14819,Of a width exceeding 35 ㎜,31,1,0,11,,0,-96,-99.8,541450,,19,0,13,22,,0,-100,0,76,,12,1,-13,-11,,Of a width exceeding 35 ㎜,347191,635498,0,11,20119,0,83,-99.8,541450,-81.7,15675,8349,13,22,38507,0,-46.7,0,76,-1.1,331516,627149,-13,-11,-18388
732620,철강선재의  제품,20307,17763,22182,15617,17983,-2.3,-12.5,24.9,-29.6,15.2,13115,11111,15715,12634,16096,5.3,-15.3,41.4,-19.6,27.4,7192,6651,6467,2982,1887,Articles of iron or steel wire,925437,965348,970023,989126,905153,20.7,4.3,0.5,2,-8.5,33880,37142,34932,37145,33839,56,9.6,-5.9,6.3,-8.9,891557,928206,935091,951981,871314,"Articles of iron or steel wire, nesoi",1899951,1555823,970023,989126,1794727,11,-18.1,0.5,2,-7.8,8462540,10195422,34932,37145,12881747,1.7,20.5,-5.9,6.3,-6.1,-6562589,-8639599,935091,951981,-11087020
842381,최대측정용량 30KG이하의  중량측정기기,19702,22166,20094,17381,17026,-4.2,12.5,-9.3,-13.5,-2,4519,5774,3947,5066,5579,-18.8,27.8,-31.6,28.4,10.1,15183,16391,16147,12314,11447,"Weighing machinery, a maximumweighing capacity not exceeding 30kg",209069,238297,241233,236593,242960,-6.9,14,1.2,-1.9,2.7,7732,7688,8051,8205,11192,20.9,-0.6,4.7,1.9,36.4,201337,230609,233182,228388,231768,"Weighing machinery, nesoi, having a maximum weighing capacity not exceeding 30 kg",996467,994091,241233,236593,1167753,3.8,-0.2,1.2,-1.9,1.9,1796536,1792958,8051,8205,1950455,-4.9,-0.2,4.7,1.9,-8,-800069,-798867,233182,228388,-782702
391620,염화비닐  중합체의  모노필라멘트 .봉 .스틱 .형재,10343,9971,8594,3787,2451,-12.5,-3.6,-13.8,-55.9,-35.3,765,1122,1210,2578,4651,-60.1,46.7,7.9,113,80.4,9578,8848,7384,1208,-2200,Monofilament.rods.sticks.profile shapes of polymers of vinyl chloride,190485,209092,208543,206804,204169,1.5,9.8,-0.3,-0.8,-1.3,8144,7339,8059,6150,7200,-38.9,-9.9,9.8,-23.7,17.1,182341,201753,200484,200654,196969,"Monofilament with a cross-sectional dimension over 1 mm, rods, sticks and profile shapes of polymers of vinyl chloride, not more than surface-worked",452860,228642,208543,206804,116069,-20.8,-49.5,-0.3,-0.8,-16.6,724389,1477260,8059,6150,1581978,252.5,103.9,9.8,-23.7,-3.5,-271529,-1248618,200484,200654,-1465909
520859,그밖의직물,10049,10823,9864,10537,8836,-18,7.7,-8.9,6.8,-16.1,1963,2070,2280,1670,2540,-36.7,5.4,10.2,-26.8,52.1,8086,8752,7584,8866,6296,"Other woven fabrics of cotton cotton 85% or more, printed, not more than 200g/m2",202455,244091,263951,216045,197756,20,20.6,8.1,-18.1,-8.5,13736,16278,13359,9693,9308,9.4,18.5,-17.9,-27.4,-4,188719,227813,250592,206352,188448,"Woven fabrics of cotton, 85% or more cotton by weight, printed, other than plain weave, nesoi, weighing not over 200 g/m2",1441329,1537673,263951,216045,1589097,-13,6.7,8.1,-18.1,-4.5,119758,145827,13359,9693,149167,20.5,21.8,-17.9,-27.4,9.1,1321571,1391846,250592,206352,1439930
731511,롤러체인 (철강제의  것 ),9876,8822,9646,10931,13164,-18.8,-10.7,9.3,13.3,20.4,43364,42600,39527,39340,42412,-10.8,-1.8,-7.2,-0.5,7.8,-33488,-33779,-29881,-28409,-29248,Roller chain of iron or steel,579547,664975,713792,647520,606402,9,14.7,7.3,-9.3,-6.4,62316,69595,72293,71443,57347,-9.7,11.7,3.9,-1.2,-19.7,517231,595380,641499,576077,549055,Roller chain of iron or steel,32598106,35641444,713792,647520,34353480,-0.5,9.3,7.3,-9.3,-5.2,2761073,3619765,72293,71443,3390440,6.7,31.1,3.9,-1.2,-11.6,29837033,32021679,641499,576077,30963040
